Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,Ceiling Type,Color1,Color2,HHAConcept1,HHAConcept2,HHASeries,Tag,Version,Filename,InternalID,UniqueEntryID
dark-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate00.png,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Brown,Brown,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate00,4932,MWLvj23WuHrEJkMjk
desert vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallDesert00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Beige,Gray,folk art,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallDesert00,5488,o45mte3eFoaM3ts98
dig-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStratum00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Brown,Beige,garden,horror,None,Stone Walls,1.0.0,RoomTexWallStratum00,5222,Rj3X2dJ5WfYu3wpMP
dirt-clod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOldSoil00.png,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,Natural Wood,Screen,None,NA,Wood,Beige,Brown,horror,None,None,Stone Walls,1.0.0,RoomTexWallOldSoil00,4856,LCJDGnfwuHqkgfxJB
dojo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBaseboards00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Beige,fitness,zen-style,None,Wood Walls,1.0.0,RoomTexWallBaseboards00,5227,sLYrC9TRZJDMCZjM6
dungeon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallJail00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Gray,horror,None,None,Special Inorganic Walls,1.0.0,RoomSpWallJail00,5509,zcHJb34EruL2Szn87
exquisite wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChina00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Brown,White,zen-style,shop,None,Asia,1.0.0,RoomTexWallChina00,4866,TPZRP5K6z87YHs6TC
forest wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMushForest00.png,No,Synchro,Yes,0,44000,Crafting,Mushroom seasonal DIY,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,garden,None,mush,Nature Walls,1.0.0,RoomTexWallMushForest00,7187,ogwkK7pveFmag6MXj
future-tech wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTechnology00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Black,Black,horror,folk art,None,Special Inorganic Walls,1.0.0,RoomSpWallTechnology00,5494,JawM9P46KeFwGXdsm
garbage-heap wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGarbage00.png,No,NA,Yes,0,120,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Light blue,Gray,garage,horror,None,Neta Walls,1.0.0,RoomTexWallGarbage00,5229,KfoTScCc4NZruFYd8
gold-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusumaGorgeous00.png,No,NA,Yes,0,20750,Crafting,,Not for sale,None,NA,NA,None,NA,Gold,Yellow,Yellow,zen-style,expensive,None,Japanese Style,1.0.0,RoomTexWallFusumaGorgeous00,4820,CucFATJt8EtZmbKFX
golden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGold00.png,No,NA,Yes,0,40000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Brown,expensive,horror,golden,Asia,1.0.0,RoomTexWallGold00,4894,uyLj28ErYLEjpYzEF
gray diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner02.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,White,Colorful,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner02,7243,eTcpWCGHCzsdGRs7k
gray molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold02.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Gray,Gray,expensive,shop,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold02,4872,49g9WCb7cvS8kpqDF
gray shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin00.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Gray,Gray,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin00,4923,7uz4sbe5zSfsa8PqK
gray-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe02.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Gray,White,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe02,4944,xWHnQXK7duTWZ8GrD
green blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry03.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,Green,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry03,4903,ZPCtPY4gYYKPn7ipQ
green delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor02.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Green,Black,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor02,4898,rsBmsGkcmQYWzEivw
green flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower01.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,Green,Stone,Green,Beige,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower01,4935,oYN6MCEQENZymoKdm
green honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb02.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Grey Metal,Glass,None,NA,Wood,Green,Green,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb02,4913,Aws33pgNCEygKeaB4
green intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop02.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Green,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop02,6878,hD6uCKiZPpJC6eqom
green molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold03.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Green,White,fancy,child's room,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold03,6854,L5cttCqv5dPEpZNwm
green painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood01.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,Green,Green,fancy,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood01,4949,wDrM2ExdLkKTKohtr
green playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy02.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Green,Green,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy02,6866,hrZPmBpEgQ8SZm2oe
green-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco04.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Cloth,Green,Green,fancy,living room,None,Stucco Walls,1.0.0,RoomTexWallStucco04,4812,3ZHQo8e8Wqgw4cpwy
groovy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPsyche00.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,Orange,Orange,party,None,None,Cloth Walls,1.0.0,RoomTexWallPsyche00,4846,gt5Bv4qHoaZ9QCyj4
harmonious wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOriental00.png,No,NA,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,zen-style,shop,None,Asia,1.0.0,RoomTexWallOriental00,11180,uCzqeq8GvfKRsWRd4
heavy-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallThickCurtain00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Red,Black,music,party,None,Cloth Walls,1.0.0,RoomTexWallThickCurtain00,4878,mKPtEN398qGZ7Yryu
honeycomb wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoney00.png,No,NA,Yes,0,3600,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Yellow,fancy,facility,None,Tile Walls,1.0.0,RoomTexWallHoney00,4865,hB3LqvkNidDmzrZ8z
honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb00.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Brown,Brown,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb00,4909,S3bCMm6KGHKF6Ynzg
ice wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallIce00.png,Yes,NA,Yes,0,8200,Snowman,Reward for making a perfect snow-person,Not for sale,None,NA,NA,None,NA,Plain,Light blue,Light blue,freezing cold,facility,frozen,Special Walls,1.0.0,RoomSpWallIce00,5505,d84Y3R4CzrtjCasov
iceberg wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIceFloe00.png,No,NA,Yes,0,4000,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,None,NA,NA,None,NA,Stone,Light blue,White,freezing cold,None,None,Neta Walls,1.0.0,RoomTexWallIceFloe00,5662,XqrwARWP9bzsmsjiF
imperial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDynasty00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Red,Red,expensive,None,None,Asia,1.0.0,RoomTexWallDynasty00,5224,YkuzvDjqXDB9CYHhm
industrial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFactory00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,facility,None,None,Iron Walls,1.0.0,RoomTexWallFactory00,4876,ao5GCHQqnwssDNRGN
ivy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIvy00.png,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Brown,Green,facility,shop,None,Nature Walls,1.0.0,RoomTexWallIvy00,4850,t6XmWqkyhZt8Axyeh
Jingle wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallXmas00.png,Yes,NA,Yes,0,2500,Crafting,Festive seasonal DIY using ornaments (from shaking trees),Not for sale,None,NA,NA,None,NA,Stone,Green,Colorful,fancy,party,festive,Special Walls,1.0.0,RoomSpWallXmas00,5230,ZjBHKK8ckePAaKpxe
jungle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJungle00.png,No,NA,Yes,0,1380,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,Green,Green,garden,facility,None,Nature Walls,1.0.0,RoomTexWallJungle00,5457,pJFdFWHgQRiYAn67i
kisses wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKiss00.png,No,Random,No,3000,750,Saharah,,Not for sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,Pink,White,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallKiss00,4881,ZeuGwoWptbyaQDsbu
laboratory wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallLabo00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallLabo00,5495,kNrqC5Xs7RFybYfkN
lattice wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLattice00.png,No,Synchro,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Brown,zen-style,shop,None,Asia,1.0.0,RoomTexWallLattice00,4830,ZQFuCuh6fdtufMYzs
magma-cavern wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallVolcano00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Orange,Orange,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallVolcano00,5506,ugvpYYqX4F9bgLbnj
manga-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary01.png,No,NA,Yes,0,1050,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,White,White,facility,den,None,Library Walls,1.0.0,RoomTexWallLibrary01,4838,wRBeXRoDHw6Curx44
mangrove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMangrove00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Green,Green,garden,None,None,Nature Walls,1.0.0,RoomTexWallMangrove00,5514,j8cYo8ozHYBaAm3JH
marine pop wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFish00.png,No,Synchro,No,0,805,Fishing Tourney,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Plain,Light blue,Blue,ocean,child's room,None,Cloth Walls,1.0.0,RoomTexWallFish00,4879,DmheJHpCg6xk8dX3R
meadow vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHighLands00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Green,Light blue,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHighLands00,5484,QdWj45HftWrWwC3dH
misty-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallRain00.png,Yes,NA,No,3000,585,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Gray,Gray,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallRain00,11915,hgiWgFTr76YtZH8sH
mod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMod00.png,No,NA,No,1220,305,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,Orange,Orange,party,None,None,Cloth Walls,1.0.0,RoomTexWallMod00,4908,Tiya4QoMRwThyKcG8
modern shoji-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShojiModem00.png,Yes,NA,No,1150,287,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,White,zen-style,shop,None,Japanese Style,1.0.0,RoomSpWallShojiModem00,4864,WBh8T7xJBavLRKZpB
modern tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud02.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Stone,Brown,Brown,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud02,11178,Yk5NZC7SSyjDEpnA7
modern wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixwood00.png,No,NA,Yes,0,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,Brown,Brown,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallMixwood00,4904,KZjTLMR8uhbpJGQ64
monochromatic dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot00.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Stone,Gray,White,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot00,4892,SWkrbmL8ME6NeQd9Q
monochromatic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile00.png,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Gray,White,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile00,4910,6pk8nNbm4EmT3PrBr
mortar wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPlaster00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Gray,Gray,zen-style,None,None,Stone Walls,1.0.0,RoomTexWallPlaster00,5215,mfRLEniEAEB9YAjCY
mosaic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMosaicTile00.png,No,NA,No,1450,362,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,Black,White,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallMosaicTile00,4862,2T8d9sRKwijHhESDS
mossy-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMoss00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Green,Green,zen-style,None,None,Nature Walls,1.0.0,RoomTexWallMoss00,5458,nuuPHdxH5skMPdehs
mush wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMush00.png,No,NA,Yes,0,21400,Crafting,Mushroom seasonal DIY,Not for sale,Four Pane,White Wood,Glass,Roller Shades,Undyed,Wood,Orange,Brown,fancy,None,mush,Cloth Walls,1.0.0,RoomTexWallMush00,5164,6xJHWgQgJA9e2n4jJ
Nook Inc. wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFirst00.png,No,NA,No,0,6000,Nook Miles Shop,,Not for sale,Four Pane,Dark Wood,Glass,Curtains,White,Plain,White,Light blue,fancy,shop,None,Cloth Walls,1.0.0,RoomTexWallFirst00,6004,e7uEC5di7XvHpvkuk
ocean-horizon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHorizon00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Blue,Light blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHorizon00,5486,BYpn3AZyJ8PWCAxHj
office wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOffice00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Light blue,office,None,None,Special Walls,1.0.0,RoomTexWallOffice00,5218,gSMtrRvmA9mYgtKtD
old wallpaper,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOld00.png,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Stone,Beige,Beige,horror,None,None,Cloth Walls,1.0.0,RoomTexWallOld00,4857,LvLyyhmz3TH3qjBi4
olive desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco03.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Yellow,Yellow,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco03,6863,z5bNEBbKNL56CwQKo
orange camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage03.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Orange,Orange,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage03,6855,xiaFSrf6okC624pCz
orange molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold00.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Orange,Beige,fancy,child's room,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold00,4870,zW3vwqmKDGhK68rCJ
orange wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOrange00.png,No,NA,Yes,0,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,Orange,Orange,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallOrange00,4915,4GirW6p4notkWfhs7
orange-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco01.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Stone,Orange,Orange,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco01,4809,TFsdbmb9sti7Gz3pt
paintball wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAtelier00.png,No,NA,No,3000,750,Saharah,,Not for sale,Single Pane,Grey Metal,Glass,Slatted Blinds,Aluminium,Stone,White,Colorful,garage,facility,None,Stone Walls,1.0.0,RoomTexWallAtelier00,4854,qnE76Sd6WdnihirBL
palace wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallPalace00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Beige,White,expensive,folk art,None,Special Inorganic Walls,1.0.0,RoomSpWallPalace00,5502,fGigBL7P6sRsv25Au
party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallParty00.png,No,NA,No,0,370,Birthday,,Not for sale,Four Pane,Dark Wood,Glass,Roller Shades,White,Wood,Colorful,White,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallParty00,5226,9v4H4NeFMQR9tKLj7
pastel dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot01.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Cloth,White,Colorful,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot01,4899,m4ha6kr7tPuio5AcL
pastel puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle00.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,White,White,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle00,4886,b3EvGiavTx8QPHrfP
peach two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile04.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Pink,Pink,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile04,6857,m9bGMPzT4cjdMddyY
peach wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPeach00.png,No,NA,Yes,0,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Pink,Pink,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPeach00,4918,cpGXBrDm4SXGAXraz
pear wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPear00.png,No,NA,Yes,0,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,Green,Green,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPear00,4917,vtaaw7vsoJD8meQuM
perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard01.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard01,4921,BThQrmfp4EnBqyfv3
pink blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry01.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Red Checkered,Stone,Pink,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry01,4895,zgZSrtarnCJG53AdD
pink diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner01.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,Pink,Colorful,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner01,7242,MXeKHor4q66HH3GJs
pink flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower00.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Pink,Cloth,Pink,Pink,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower00,4893,eCN5rZb7sXsoWSCmW
pink heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart01.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Pink,Pink,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart01,4875,4f732CJdDvXxHDQsd
pink painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood02.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,Pink,Pink,fancy,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood02,4802,tjx2TsuHTcr4jaMHM
pink playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy01.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Pink,Pink,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy01,4889,xYNWemEyTsD9zG8iC
pink quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse00.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,Pink,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse00,7274,gToedZLPo7MbMvpah
pink shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin01.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Wood,Pink,Pink,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin01,4924,WfmPknxrLpp25SMbS
