Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,Ceiling Type,Color1,Color2,HHAConcept1,HHAConcept2,HHASeries,Tag,Version,Filename,InternalID,UniqueEntryID
pink simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple02.png,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Tile,Pink,Pink,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple02,4868,mH2zs7NpfPgERmHwm
pink-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown02.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Cloth,Pink,White,fancy,expensive,None,Crown Walls,1.0.0,RoomTexWallCrown02,4816,cwBg3xvzjfh2qm7Lg
pink-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe01.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Pink,White,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe01,4943,Pwd2z87xxFm52tA28
purple camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage02.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Purple,Purple,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage02,4885,AY2jSyyAd4BD74xQ7
purple desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco02.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Purple,Purple,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco02,6864,2y5jPPPs3so7APToC
purple dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot04.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Cloth,Purple,White,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot04,4902,JRu4Xs5kYG4ognk2P
purple puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle03.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,Purple,Colorful,None,None,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle03,6875,iG8MR3f2F2jDsLjT9
purple quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse03.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,Purple,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse03,7275,tmY5uczEnYXA6fdeQ
purple-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose01.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,Purple,Purple,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose01,4907,kHEHhFZSfDXTHtZAa
rammed-earth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHanchiku00.png,No,NA,No,1800,450,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Beige,folk art,None,None,Stone Walls,1.0.0,RoomTexWallHanchiku00,4845,9AafcLh3QkLp2tdWj
ramshackle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRuins00.png,No,NA,No,3000,750,Saharah,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Brown,Beige,horror,None,None,Stone Walls,1.0.0,RoomTexWallRuins00,5225,bTb98gEchXobwaqdt
red art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco01.png,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,Red,Black,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco01,4818,R3zgKkrxc3ar4y9A8
red delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor01.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Red,Brown,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor01,4897,F7oWFwEAh4evtkJcb
red dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot02.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Cloth,Red,Red,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot02,4900,3mfqbt8sXR88eDfTk
red heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart03.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Red,Red,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart03,6870,TPrtAkkWJa7KpLady
red intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop03.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,Red,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop03,6879,yasngHr44QgXc9tYs
red perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard03.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Red,Red,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard03,6853,TCLSE3BdkCQeiM7wX
red two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile03.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Red,Red,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile03,6856,u9dKmtft32t4cxxiW
red-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick01.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Red,Brown,facility,shop,None,Brick,1.0.0,RoomTexWallBrick01,4928,Hu3jyiCP23j78PCdX
retro flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKitsch00.png,No,NA,No,1660,415,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Plain,Green,Green,fancy,living room,None,Cloth Walls,1.0.0,RoomTexWallKitsch00,4847,MdWwebM7zyeBdykxp
rice-paddy wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFarm00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Light blue,Green,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFarm00,5487,TnHvGeJGKioxc95mH
ringside seating,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWrestling00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,fitness,None,None,Special Walls,1.0.0,RoomSpWallWrestling00,5512,bg9rQRYAbzeD8rLCw
rock-climbing wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBouldering00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Colorful,fitness,None,None,Neta Walls,1.0.0,RoomTexWallBouldering00,4851,CRvqDNWfXzY2ibXvG
rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose00.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Stone,Red,White,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose00,4906,azgSWFRcgeuopRWrH
ruins wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRemains00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Gray,horror,folk art,None,Nature Walls,1.0.0,RoomTexWallRemains00,5228,ZHiKhqts5brebhYH9
rustic-stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStone00.png,No,NA,Yes,0,1750,Crafting,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Gray,Gray,facility,shop,None,Stone Walls,1.0.0,RoomTexWallStone00,4813,xP7S673w2oNwNHowp
sakura-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSolidWood00.png,No,NA,Yes,0,3200,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),Not for sale,Four Pane,Grey Wood,Glass,Curtains,Pink,Tile,Pink,Pink,child's room,fancy,cherry blossoms,Wood Walls,1.0.0,RoomTexWallSolidWood00,4947,jFtMrj8NBC3o4ALzG
sci-fi wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSF00.png,Yes,Random,Yes,0,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,space,facility,None,Special Inorganic Walls,1.0.0,RoomSpWallSF00,5510,y48TLWMbXCbrWQp5a
screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusuma00.png,No,NA,No,3000,750,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,White,White,zen-style,facility,None,Japanese Style,1.0.0,RoomTexWallFusuma00,4819,wk4ST89FjabXnZPXy
sea view,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSeaView00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Light blue,Blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallSeaView00,5501,fHQn9EzoTxznm7nJ9
security-monitors wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMonitor00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Black,Gray,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallMonitor00,5491,N6T3rBvQdYoJoXkrH
sepia puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle02.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,Beige,Colorful,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle02,6874,2mtYv7D25wDqMWi6P
server-room wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallServer00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallServer00,5490,ycnhxNaWfeXEq5x7A
shoji screen,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShoji00.png,Yes,NA,No,1880,470,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Beige,White,zen-style,None,None,Japanese Style,1.0.0,RoomSpWallShoji00,4863,5RdqeAZAvdCR5QxqM
shutter wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallShutter00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,White,Gray,facility,shop,None,Iron Walls,1.0.0,RoomTexWallShutter00,4825,4ez74JDpR9kmiroQr
ski-slope wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGelande00.png,Yes,Synchro,Yes,0,3200,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,None,NA,NA,None,NA,Cloth,White,White,freezing cold,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallGelande00,5498,hCdDcFDBWEe6pmctp
skull wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSkull00.png,Yes,LightOff,No,3000,750,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Plain,Black,Black,horror,child's room,None,Special Inorganic Walls,1.0.0,RoomSpWallSkull00,5520,7GLt2YDxMDyp8EJth
sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCloud00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Light blue,White,fancy,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallCloud00,5504,9YmTrPqSZRCvxRtLi
skyscraper wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSkyscraper00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Black,Gray,expensive,None,None,Neta Walls,1.0.0,RoomTexWallSkyscraper00,4852,Ah36ZRM9QBHBt7HZF
snowflake wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSnowCrystal00.png,No,NA,Yes,0,4800,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,Light blue,Light blue,freezing cold,None,None,Cloth Walls,1.0.0,RoomTexWallSnowCrystal00,4855,w5MEjbgphAwDo42mk
soothing tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud01.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Wood,White,Beige,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud01,11177,Bke28iGoY3LhDagx4
stacked-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFireWood00.png,No,NA,Yes,0,1800,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,Brown,Brown,garage,facility,None,Wood Walls,1.0.0,RoomTexWallFireWood00,4844,TZi9bo7GYzJxPJNNe
stadium wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStadium00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Colorful,Colorful,fitness,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallStadium00,5503,oJoGTXMzLnYTpdBaf
standard tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud00.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Cloth,Green,Green,zen-style,None,None,Tea Room Walls,1.0.0,RoomTexWallMud00,5521,4Zv8KLzxrsm6k53pN
starry wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarPrint00.png,Yes,LightOff,Yes,0,7500,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Plain,Gray,White,fancy,child's room,None,Special Cool Nature Walls,1.0.0,RoomSpWallStarPrint00,5528,sjnLXANKDEPMzdGbn
starry-sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarSky00.png,Yes,NA,Yes,0,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Blue,Blue,space,None,stars,Special Cool Nature Walls,1.0.0,RoomSpWallStarSky00,5500,iMQgW8pWYPWbj9Qom
stately wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRenaissance00.png,No,NA,No,2450,612,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,White,White,expensive,None,None,Asia,1.0.0,RoomTexWallRenaissance00,4861,BdPATBHc8m7YvJzwP
steel-frame wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSteel00.png,No,NA,Yes,0,6000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Red,Gray,garage,facility,None,Iron Walls,1.0.0,RoomTexWallSteel00,4801,K2uSKanJ3r6bQt6MG
stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBasement00.png,No,NA,Yes,0,1500,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,Black,Gray,horror,facility,None,Stone Walls,1.0.0,RoomTexWallBasement00,5216,8hnPcADHfoEpvgSAS
stormy-night wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallThunder00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Gray,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallThunder00,5499,Y3sjyMeHtDFcdBfrM
straw wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStraw00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Beige,Beige,folk art,None,None,Wood Walls,1.0.0,RoomTexWallStraw00,5217,u3orRaGAX2iwdtCLG
strawberry-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate02.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Pink,Pink,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate02,4934,G5QeNa2L26MwuCexA
street-art wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStreetArt00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Colorful,Colorful,garage,None,None,Neta Walls,1.0.0,RoomTexWallStreetArt00,5221,88hCuytidryqimPXr
summit wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMountainTop00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,White,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallMountainTop00,5513,hFmF2iNjDvLGfF3Rf
tree-lined wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRoadsideTree00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Green,Light blue,garden,None,None,Nature Walls,1.0.0,RoomTexWallRoadsideTree00,5456,aLzrLXC7Nyk6h6pDw
tropical vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTropical00.png,Yes,Synchro,Yes,0,6000,Crafting,Summer seasonal DIY using summer shells (found on beach),Not for sale,None,NA,NA,None,NA,Plain,Light blue,Beige,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallTropical00,5661,sZgNFwEcxpLSAxB4X
underwater wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFishTank00.png,Yes,Synchro,Yes,0,8600,Crafting,Summer seasonal DIY using summer shells (found on beach),Not for sale,None,NA,NA,None,NA,Stone,Blue,Light blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFishTank00,5508,QXNnruZcwJursNmjP
wavy-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWaveTile00.png,No,NA,No,1740,435,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,Gray,White,shop,facility,None,Tile Walls,1.0.0,RoomTexWallWaveTile00,4832,eLQ2JDZKjrzcnP9gn
western vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWilderness00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Brown,Beige,folk art,horror,None,Special Cool Nature Walls,1.0.0,RoomSpWallWilderness00,5489,tYFKmm4XzGGGQAcfG
white botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile00.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Wood,White,White,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile00,4826,QyrvwKiKMmNvm7KxR
white delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor00.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,White,White,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor00,4891,ZDpt8b6TTGr2hihP5
white hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall02.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,White,White,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall02,6861,HZoM3iHpKrQPBK2Gh
white honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb03.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,White,White,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb03,4914,K8mdzBZZeBLxZEAzZ
white painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood03.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,White,White,living room,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood03,4803,cN4bnHaw4mruhnMZk
white perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard00.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,White,White,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard00,4920,krohWS7x49N2hCKrF
white simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple00.png,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,White,Stone,White,White,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple00,4939,z2Zh2fzFwCbvMDm8J
white subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro01.png,No,NA,No,1340,335,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,White,White,facility,shop,None,Metro Walls,1.0.0,RoomTexWallMetro01,4941,ajXm5zy9pwf7XEyHF
white-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick00.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,White,White,facility,shop,None,Brick,1.0.0,RoomTexWallBrick00,4927,htjwxjceb2hc6GxjX
white-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate01.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Beige,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate01,4933,6qMhFdc2nDSvJSCfT
white-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose02.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,Pink,White,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose02,6868,yksDvcnnKqM7tnzas
wild-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWildWood00.png,No,NA,Yes,0,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,Black,Black,living room,shop,None,Wood Walls,1.0.0,RoomTexWallWildWood00,4858,vhJr7B96SnG3xQQCs
wooden-knot wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCedar00.png,No,NA,Yes,0,1800,Crafting,,Not for sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Stone,Brown,Brown,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallCedar00,4911,puQYs9hygxfcQWsjt
wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood00.png,No,NA,Yes,0,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,Brown,Brown,living room,shop,None,Wood Plank Walls,1.0.0,RoomTexWallMixPlankWood00,4859,RgzoarteJyzD4xSAm
woodland wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJukai00.png,No,NA,Yes,0,1380,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Green,Green,horror,facility,None,Nature Walls,1.0.0,RoomTexWallJukai00,5223,2B4YTYqnm64vgANY4
yellow flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower02.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Yellow,Cloth,Yellow,Yellow,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower02,6872,esknqzcAenk8uqzYk
yellow heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart02.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Yellow,Yellow,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart02,6871,BqWMEqc2tL8CnPAmd
yellow intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop01.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Yellow,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop01,4849,FrZas8MjMdjDTPvkX
yellow playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy03.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Yellow,Yellow,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy03,6865,mraytANoYBQvA8qAk
yellow quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse02.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,Yellow,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse02,7276,ysEdh2vpCpg5qBcNg
yellow simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple01.png,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Stone,Beige,Yellow,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple01,4867,7sSXFNqcYgPMcGY8k
yellow-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco00.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Cloth,Yellow,Yellow,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco00,4808,TySAA4kKqyvGGeZ5C
yellow-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe04.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Yellow,Beige,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe04,4946,N6sef3YhY973LDgdR